variable,value,perm_imp
month,0.0001238976457606507,-1.6653345369377348e-16
secondary_cleaner.state.floatbank3_b_level,0.00017847709481909463,-0.0005524110727440412
hour,0.0002488027508315781,-3.635892567801502e-05
rougher.state.floatbank10_d_level,0.0003653043602885768,-0.0002773963466837115
rougher.state.floatbank10_a_level,0.0004138278001390934,0.0006162003254101434
secondary_cleaner.state.floatbank2_a_level,0.0005707587758992821,-8.368715747210098e-05
secondary_cleaner.state.floatbank4_b_level,0.0005998611835797811,-0.0015759389937528123
secondary_cleaner.state.floatbank3_a_level,0.0006783583980548161,0.001713315998080367
secondary_cleaner.state.floatbank6_a_level,0.0007046742119646985,0.00010022091543020473
rougher.state.floatbank10_c_level,0.0007289864011584294,-0.00010056028847054144
secondary_cleaner.state.floatbank4_a_level,0.0008092133231269379,-0.00019046365317106905
rougher.state.floatbank10_e_level,0.0008443251301871804,-0.0061564261712956925
primary_cleaner.state.floatbank8_a_level,0.0009290200002734758,0.0009314429167405658
rougher.state.floatbank10_f_air,0.0010727984595679757,-0.0037933058052899817
primary_cleaner.state.floatbank8_c_level,0.0011742103387948886,0.00022494127221621695
primary_cleaner.state.floatbank8_b_level,0.0012363296764815932,-0.0001928410976268502
secondary_cleaner.state.floatbank3_a_air,0.0014551890014798583,3.273548739810561e-05
secondary_cleaner.state.floatbank2_b_level,0.0015104958154331246,-0.0013588501868869063
rougher.input.feed_rate,0.001743647174037283,0.0022316271427016976
secondary_cleaner.state.floatbank2_a_air,0.0017865600183376185,-0.0007758517810481647
rougher.state.floatbank10_f_level,0.0018699205820911842,-0.03261959647896786
rougher.state.floatbank10_b_level,0.001884030152454852,-0.00022846727283976076
rougher.input.floatbank11_xanthate,0.0019227726278751261,0.010810181900022786
rougher.input.floatbank10_xanthate,0.0019260776940304917,0.004934900880657267
secondary_cleaner.state.floatbank5_a_level,0.002133351690828514,-0.005984531834224727
rougher.state.floatbank10_a_air,0.0023079530718920598,-0.028422111939710736
rougher.state.floatbank10_e_air,0.002402949206654224,-0.004006886662392528
primary_cleaner.state.floatbank8_d_level,0.0027856355734857557,0.0065047755478063966
secondary_cleaner.state.floatbank2_b_air,0.0028249810516860294,0.001035234438037691
dow,0.0031254528528696767,0.0016828379136912043
rougher.input.feed_pb,0.003130102490162024,-0.00042486394947773844
rougher.input.feed_size,0.00314824695411629,0.001157836964629022
secondary_cleaner.state.floatbank4_a_air,0.003627803911004983,-0.004580532311672459
primary_cleaner.state.floatbank8_d_air,0.004083617238600265,0.0004359766958483613
primary_cleaner.input.xanthate,0.004927282689488489,-3.2471092295460745e-05
rougher.input.feed_sol,0.0051740034617580285,0.0033897965755395167
day,0.005272745354871156,0.019702720165027676
secondary_cleaner.state.floatbank3_b_air,0.007399602590650998,0.0004947651416887022
primary_cleaner.input.feed_size,0.008441458032349693,0.01784691163280816
primary_cleaner.input.copper_sulfate,0.01003247158154878,0.053870914077548605
primary_cleaner.state.floatbank8_b_air,0.01039869627648995,-0.014899134827527905
rougher.input.floatbank10_copper_sulfate,0.014868124587179858,-0.008325354187788857
secondary_cleaner.state.floatbank6_a_air,0.01696739877306037,0.00308113821507191
secondary_cleaner.state.floatbank5_b_level,0.020922951988077237,-1.1160588499170565e-05
primary_cleaner.state.floatbank8_a_air,0.023338013191158368,0.006727114109654664
secondary_cleaner.state.floatbank5_a_air,0.023683529482809492,-0.0020032237366043757
weekofyear,0.023965462232683133,-8.881784197001253e-17
rougher.state.floatbank10_d_air,0.025123586048061575,0.003598989411244302
primary_cleaner.input.depressant,0.030556673709567536,0.1443710201183574
secondary_cleaner.state.floatbank5_b_air,0.03526308345162581,0.01668853401003385
rougher.input.feed_fe,0.041781633385497896,-0.005194095292329837
primary_cleaner.state.floatbank8_c_air,0.04906883608238331,-0.012533119688289485
rougher.state.floatbank10_b_air,0.06122352607438859,0.025017086418413204
rougher.input.floatbank11_copper_sulfate,0.06667999956993848,0.06298229544297443
rougher.state.floatbank10_c_air,0.07103475292345048,0.015042484368426678
rougher.input.feed_zn,0.09477574039582817,0.06587165237196509
secondary_cleaner.state.floatbank4_b_air,0.2947527954591653,0.10575427812301634
